Title,Author,Additional Authors,Reference
The Girl on the Train,Paula Hawkins,,
The Alchemist,Paulo Coelho,Alan R. Clarke,
Jaws,Peter Benchley,,
The Curious Charms of Arthur Pepper,Phaedra Patrick,,
"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,,
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,,
"Red Rising (Red Rising Saga, #1)",Pierce Brown,,
Orange Is the New Black,Piper Kerman,,
The Elephant Tree,R.D. Ronald,,
"Wonder (Wonder, #1)",R.J. Palacio,,
MWF Seeking BFF: My Yearlong Search For A New Best Friend,Rachel Bertsche,,
Yoga Girl,Rachel Brathen,,
"Killman Creek (Stillhouse Lake, #2)",Rachel Caine,,
"Stillhouse Lake (Stillhouse Lake, #1)",Rachel Caine,,
The Wife Upstairs,Rachel Hawkins,,
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,,
"Girl, Wash Your Face: Stop Believing the Lies about Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,,
Eleanor & Park,Rainbow Rowell,,
"Miss Peregrine's Peculiar Children, #6",Ransom Riggs,,The Desolations of Devil's Acre 
"The Desolations of Devil's Acre (Miss Peregrine's Peculiar Children, #6)",Ransom Riggs,,The Desolations of Devil's Acre 
"The Conference of the Birds (Miss Peregrine's Peculiar Children, #5)",Ransom Riggs,,
"A Map of Days (Miss Peregrine's Peculiar Children, #4)",Ransom Riggs,,
"Tales of the Peculiar (Miss Peregrine's Peculiar Children, #0.5)",Ransom Riggs,Andrew   Davidson,
"Library of Souls (Miss Peregrine's Peculiar Children, #3)",Ransom Riggs,,
"Hollow City (Miss Peregrine's Peculiar Children, #2)",Ransom Riggs,,
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,,
The Great Believers,Rebecca Makkai,,
The Immortal Life of Henrietta Lacks,Rebecca Skloot,,
Black Boy,Richard Wright,Jerry W. Ward Jr.,
Home Before Dark,Riley Sager,,
Survive the Night,Riley Sager,,
Lock Every Door,Riley Sager,,
The Last Time I Lied,Riley Sager,,
Final Girls,Riley Sager,,
Stories I Only Tell My Friends,Rob Lowe,,
Psycho (Psycho #1),Robert Bloch,,
"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,,
"The Silkworm (Cormoran Strike, #2)",Robert Galbraith,,
Boy's Life,Robert R. McCammon,,
Abduction,Robin Cook,,
Toxin,Robin Cook,,
Dear Child,Romy Hausmann,,
Ghosted,Rosie Walsh,,
Hunger: A Memoir of (My) Body,Roxane Gay,,
An Untamed State,Roxane Gay,,
Milk and Honey,Rupi Kaur,,
The Sun and Her Flowers,Rupi Kaur,,
Snowflakes,Ruth Ware,,
One by One,Ruth Ware,,
The Turn of the Key,Ruth Ware,,
The Death of Mrs. Westaway,Ruth Ware,,
The Lying Game,Ruth Ware,,
The Woman in Cabin 10,Ruth Ware,,
"In a Dark, Dark Wood",Ruth Ware,,
Blacktop Wasteland,S.A.  Cosby,,
Final Cut,S.J. Watson,,
Before I Go to Sleep,S.J. Watson,,
Second Life,S.J. Watson,,
The Chestnut Man,Søren Sveistrup,Caroline Waight,
In Pieces,Sally Field,,
Normal People,Sally Rooney,,
We Are Never Meeting in Real Life.,Samantha Irby,,
The First Mistake,Sandie Jones,,
The Other Woman,Sandie Jones,,
Sounds Like Me: My Life (So Far) in Song,Sara Bareilles,,
Born to Fly,Sara Evans,Cindy Coloma,
Water for Elephants,Sara Gruen,,
